host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
52590431,Copacabana,Entire home/apt,1116,1,7,1,365
15311839,Copacabana,Entire home/apt,500,7,0,4,363
8975746,Copacabana,Entire home/apt,1112,3,0,40,364
70668128,Copacabana,Entire home/apt,1089,15,0,1,177
114877442,Copacabana,Private room,192,1,0,2,365
206936060,Copacabana,Entire home/apt,169,4,0,1,354
10562212,Copacabana,Entire home/apt,131,3,4,1,299
182971411,Copacabana,Entire home/apt,131,3,5,2,164
23141333,Copacabana,Entire home/apt,255,2,7,2,84
171256195,Copacabana,Entire home/apt,218,2,0,15,139
62531913,Copacabana,Private room,79,2,0,2,364
69104114,Copacabana,Private room,94,2,13,1,65
80055342,Copacabana,Entire home/apt,222,3,0,4,257
91654021,Copacabana,Entire home/apt,278,2,0,213,340
10712658,Copacabana,Entire home/apt,999,60,1,14,0
15635229,Copacabana,Entire home/apt,1014,3,7,3,300
81739205,Copacabana,Entire home/apt,300,5,1,2,0
26093368,Copacabana,Entire home/apt,800,5,0,1,89
198910828,Copacabana,Entire home/apt,800,3,1,4,336
12869355,Copacabana,Entire home/apt,199,3,0,4,322
15010837,Copacabana,Entire home/apt,800,3,0,1,365
3413189,Copacabana,Entire home/apt,545,3,0,57,364
20568689,Copacabana,Entire home/apt,1878,3,0,2,363
72536853,Copacabana,Entire home/apt,368,4,9,5,159
83089976,Copacabana,Entire home/apt,98,3,8,1,72
40047720,Copacabana,Entire home/apt,500,5,1,2,365
5291353,Copacabana,Entire home/apt,744,1,0,1,365
4307081,Copacabana,Entire home/apt,526,5,0,55,365
84234504,Copacabana,Entire home/apt,601,2,3,1,332
66877715,Copacabana,Entire home/apt,349,3,5,43,79
12935217,Copacabana,Entire home/apt,199,2,2,1,349
12565926,Copacabana,Entire home/apt,150,1,3,4,324
15801422,Copacabana,Private room,826,1,0,1,365
13664216,Copacabana,Entire home/apt,199,7,2,15,87
22085127,Copacabana,Entire home/apt,999,6,0,13,178
34264784,Copacabana,Entire home/apt,199,2,35,2,290
44420898,Copacabana,Private room,90,2,89,1,331
46235793,Copacabana,Entire home/apt,2948,5,1,8,365
6138630,Copacabana,Entire home/apt,116,2,174,1,194
170912239,Copacabana,Entire home/apt,349,3,0,8,365
2397123,Copacabana,Entire home/apt,285,3,24,1,359
14175180,Copacabana,Entire home/apt,368,7,4,1,340
6373450,Copacabana,Entire home/apt,436,1,5,1,364
96445730,Copacabana,Entire home/apt,105,2,38,2,49
4928492,Copacabana,Entire home/apt,451,4,5,9,355
27832547,Copacabana,Entire home/apt,150,5,1,1,318
119608702,Copacabana,Private room,500,2,0,1,6
10671319,Copacabana,Entire home/apt,841,4,0,2,365
22713969,Copacabana,Entire home/apt,285,3,0,18,21
339264,Copacabana,Private room,109,1,79,1,365
42038091,Ipanema,Entire home/apt,481,3,0,3,365
12800978,Copacabana,Entire home/apt,1127,1,1,1,178
25341342,Copacabana,Private room,60,2,38,4,78
8983726,Copacabana,Entire home/apt,500,2,15,2,213
84438636,Copacabana,Private room,150,4,0,1,364
91654021,Ipanema,Entire home/apt,1341,184,0,213,365
10768931,Copacabana,Entire home/apt,3756,30,0,1,364
31178932,Copacabana,Entire home/apt,1089,6,0,1,365
95726650,Ipanema,Entire home/apt,135,90,0,1,358
12431812,Copacabana,Entire home/apt,342,4,7,3,142
159706319,Copacabana,Entire home/apt,391,7,0,1,364
14314998,Ipanema,Entire home/apt,458,4,0,33,359
12980953,Copacabana,Entire home/apt,282,3,19,1,198
90005336,Copacabana,Private room,71,2,83,2,9
103335273,Copacabana,Entire home/apt,237,2,3,2,323
17570217,Copacabana,Entire home/apt,349,3,0,1,23
44208672,Copacabana,Entire home/apt,131,2,2,4,131
7835552,Copacabana,Entire home/apt,999,7,1,8,364
15311839,Copacabana,Entire home/apt,454,7,3,4,358
100074191,Copacabana,Entire home/apt,101,1,6,2,257
64541067,Copacabana,Entire home/apt,199,5,0,1,89
24609192,Copacabana,Private room,120,5,3,1,180
2479468,Copacabana,Entire home/apt,240,6,66,1,20
164822022,Copacabana,Entire home/apt,162,2,0,14,152
49079400,Copacabana,Entire home/apt,300,1,25,1,142
162706782,Copacabana,Entire home/apt,207,2,7,7,237
8000736,Ipanema,Entire home/apt,398,5,0,14,99
14963210,Copacabana,Private room,199,2,1,2,357
81973289,Ipanema,Entire home/apt,252,2,6,1,167
80111640,Ipanema,Entire home/apt,1499,2,0,2,37
10712658,Copacabana,Entire home/apt,1638,2,0,14,0
55952400,Ipanema,Private room,192,1,7,2,364
73050790,Copacabana,Private room,124,1,28,1,99
1024986,Copacabana,Private room,120,5,0,2,252
7550977,Copacabana,Entire home/apt,143,7,7,1,341
4169712,Copacabana,Entire home/apt,563,2,0,2,115
671579,Ipanema,Entire home/apt,451,6,28,1,274
44622369,Copacabana,Entire home/apt,79,3,1,2,274
77345568,Ipanema,Entire home/apt,289,2,91,1,148
717238,Copacabana,Entire home/apt,192,2,0,5,363
2156021,Copacabana,Entire home/apt,165,2,13,3,96
129603370,Copacabana,Entire home/apt,199,1,0,1,238
49073624,Copacabana,Entire home/apt,169,2,24,1,348
8064375,Copacabana,Private room,349,2,1,2,73
73089170,Copacabana,Private room,252,4,0,1,358
17866578,Copacabana,Entire home/apt,101,3,5,2,359
30006795,Copacabana,Private room,131,2,11,2,165
15231112,Copacabana,Private room,53,5,2,4,353
2019936,Copacabana,Private room,120,4,7,2,358
126317567,Copacabana,Private room,124,1,11,1,208
27366917,Copacabana,Entire home/apt,252,1,2,1,364
13069304,Ipanema,Entire home/apt,1127,7,0,1,363
4307081,Ipanema,Entire home/apt,751,3,0,55,89
9644101,Copacabana,Entire home/apt,116,3,72,6,92
17325065,Copacabana,Private room,252,2,1,3,193
113812028,Copacabana,Entire home/apt,120,2,18,1,165
110669763,Copacabana,Entire home/apt,180,5,1,1,152
83714610,Ipanema,Entire home/apt,522,2,17,1,173
142511579,Copacabana,Entire home/apt,548,5,0,1,363
56415535,Copacabana,Private room,188,3,0,2,365
1858602,Ipanema,Entire home/apt,252,3,115,2,269
66231570,Ipanema,Entire home/apt,372,3,59,1,125
3641304,Copacabana,Entire home/apt,233,3,1,2,106
169718373,Copacabana,Entire home/apt,300,4,0,1,13
4928492,Copacabana,Entire home/apt,300,3,0,9,363
2105194,Copacabana,Entire home/apt,120,3,31,3,56
2837815,Copacabana,Private room,300,4,15,2,365
144802987,Copacabana,Entire home/apt,650,2,12,1,132
83511983,Copacabana,Shared room,398,1,5,1,89
96857970,Copacabana,Private room,192,2,1,2,83
53203436,Copacabana,Entire home/apt,1100,3,2,1,365
2206708,Copacabana,Entire home/apt,113,5,1,3,351
24552503,Copacabana,Entire home/apt,789,4,0,1,365
4902557,Copacabana,Entire home/apt,751,3,1,1,365
16326971,Copacabana,Entire home/apt,101,14,6,1,31
1664638,Copacabana,Entire home/apt,180,3,21,2,328
23910734,Copacabana,Entire home/apt,1514,3,0,1,365
79484264,Copacabana,Entire home/apt,1315,1,0,3,364
92525893,Copacabana,Entire home/apt,229,5,0,1,177
113016905,Copacabana,Entire home/apt,135,3,1,1,200
209348943,Copacabana,Entire home/apt,417,1,1,1,340
103335273,Copacabana,Entire home/apt,372,3,16,2,325
51314789,Copacabana,Entire home/apt,192,2,0,3,35
524777,Copacabana,Entire home/apt,1127,5,0,2,363
26224953,Copacabana,Entire home/apt,158,4,4,1,10
11739,Copacabana,Entire home/apt,180,3,3,7,55
23747842,Copacabana,Shared room,563,1,2,17,365
107050007,Copacabana,Entire home/apt,252,2,16,2,177
422874,Copacabana,Entire home/apt,349,5,5,1,362
154043,Copacabana,Entire home/apt,150,4,1,1,89
217958157,Copacabana,Private room,222,2,0,1,16
29332218,Copacabana,Entire home/apt,154,3,17,2,38
171256195,Copacabana,Entire home/apt,154,1,0,15,124
147946652,Copacabana,Entire home/apt,192,3,10,1,365
43269364,Copacabana,Shared room,45,1,1,4,71
25506068,Copacabana,Entire home/apt,180,3,21,1,164
2942002,Copacabana,Private room,139,3,6,2,365
2981770,Copacabana,Private room,38,3,7,2,91
44838515,Copacabana,Entire home/apt,270,1,1,1,118
84566555,Copacabana,Entire home/apt,939,1,0,1,365
2244498,Copacabana,Entire home/apt,229,3,21,2,169
50890793,Copacabana,Entire home/apt,601,3,8,1,142
212316847,Copacabana,Entire home/apt,101,4,0,1,334
12901063,Copacabana,Entire home/apt,1998,10,0,2,358
72295501,Copacabana,Entire home/apt,451,3,0,1,359
14449322,Copacabana,Entire home/apt,1499,5,1,1,362
18568541,Copacabana,Entire home/apt,2239,5,0,11,364
198910828,Copacabana,Entire home/apt,1499,3,0,4,337
18568541,Copacabana,Entire home/apt,751,5,1,11,365
156792723,Copacabana,Entire home/apt,240,3,0,1,169
4264872,Copacabana,Private room,79,2,47,6,348
3767558,Copacabana,Entire home/apt,177,2,92,2,329
56464577,Copacabana,Private room,128,3,6,7,358
506187,Copacabana,Private room,90,2,13,4,358
37252676,Copacabana,Entire home/apt,282,3,1,1,76
183807933,Copacabana,Entire home/apt,131,2,8,1,347
88124349,Copacabana,Entire home/apt,165,1,0,21,165
1101316,Copacabana,Entire home/apt,214,2,32,1,167
76611158,Copacabana,Entire home/apt,252,3,1,1,364
160772501,Copacabana,Private room,101,1,0,2,365
401375,Copacabana,Entire home/apt,334,5,84,1,306
100015892,Copacabana,Entire home/apt,131,3,75,1,59
41146694,Copacabana,Entire home/apt,428,3,9,2,364
39286812,Copacabana,Entire home/apt,199,1,103,1,160
14418677,Copacabana,Private room,751,2,0,2,364
4192209,Copacabana,Entire home/apt,699,1,0,3,365
11604589,Copacabana,Entire home/apt,1998,10,0,1,365
2651593,Copacabana,Private room,500,1,0,2,365
94215889,Copacabana,Private room,680,5,0,3,365
4318903,Copacabana,Private room,334,7,0,1,365
100281571,Copacabana,Private room,75,1,1,1,356
63257457,Copacabana,Entire home/apt,349,3,1,2,365
13452798,Copacabana,Entire home/apt,999,3,1,1,365
115476383,Copacabana,Entire home/apt,113,3,20,1,61
40952239,Copacabana,Entire home/apt,128,2,0,3,348
13822615,Copacabana,Entire home/apt,391,2,1,1,364
50299703,Copacabana,Private room,60,1,16,3,9
47647768,Copacabana,Private room,300,1,0,2,365
45140634,Copacabana,Entire home/apt,252,4,0,2,333
820566,Copacabana,Entire home/apt,120,1,29,1,166
171468179,Copacabana,Private room,120,7,0,1,82
145336920,Copacabana,Private room,86,2,7,2,351
5221887,Copacabana,Private room,83,5,36,2,47
8975746,Copacabana,Entire home/apt,1348,3,0,40,354
506187,Copacabana,Private room,169,2,5,4,359
