host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
52590431,Bruno,Copacabana,Entire home/apt,1116,1,7,1,365
15311839,Rose,Copacabana,Entire home/apt,500,7,0,4,363
8975746,Laura,Copacabana,Entire home/apt,1112,3,0,40,364
70668128,Jacqueline,Copacabana,Entire home/apt,1089,15,0,1,177
114877442,Eliane,Copacabana,Private room,192,1,0,2,365
206936060,Paulo,Copacabana,Entire home/apt,169,4,0,1,354
10562212,Luiz Fernando,Copacabana,Entire home/apt,131,3,4,1,299
182971411,Rosane,Copacabana,Entire home/apt,131,3,5,2,164
23141333,Kai,Copacabana,Entire home/apt,255,2,7,2,84
171256195,Andre,Copacabana,Entire home/apt,218,2,0,15,139
62531913,Renata,Copacabana,Private room,79,2,0,2,364
69104114,Marcel,Copacabana,Private room,94,2,13,1,65
80055342,Eliana,Copacabana,Entire home/apt,222,3,0,4,257
91654021,Daniel,Copacabana,Entire home/apt,278,2,0,213,340
10712658,Manfred,Copacabana,Entire home/apt,999,60,1,14,0
15635229,Carlos,Copacabana,Entire home/apt,1014,3,7,3,300
81739205,Joao,Copacabana,Entire home/apt,300,5,1,2,0
26093368,Wallace,Copacabana,Entire home/apt,800,5,0,1,89
198910828,André,Copacabana,Entire home/apt,800,3,1,4,336
12869355,Allan,Copacabana,Entire home/apt,199,3,0,4,322
15010837,Marcus,Copacabana,Entire home/apt,800,3,0,1,365
3413189,Chad,Copacabana,Entire home/apt,545,3,0,57,364
20568689,Lilliane,Copacabana,Entire home/apt,1878,3,0,2,363
72536853,Cezar,Copacabana,Entire home/apt,368,4,9,5,159
83089976,Sergio&Marlene,Copacabana,Entire home/apt,98,3,8,1,72
40047720,José,Copacabana,Entire home/apt,500,5,1,2,365
5291353,Luiz Rogério,Copacabana,Entire home/apt,744,1,0,1,365
4307081,Nereu A,Copacabana,Entire home/apt,526,5,0,55,365
84234504,Sueli,Copacabana,Entire home/apt,601,2,3,1,332
66877715,Alan Mattos,Copacabana,Entire home/apt,349,3,5,43,79
12935217,Celia,Copacabana,Entire home/apt,199,2,2,1,349
12565926,Maria Claudia,Copacabana,Entire home/apt,150,1,3,4,324
15801422,Marco,Copacabana,Private room,826,1,0,1,365
13664216,Maria Lucia,Copacabana,Entire home/apt,199,7,2,15,87
22085127,Davimar,Copacabana,Entire home/apt,999,6,0,13,178
34264784,Sandra,Copacabana,Entire home/apt,199,2,35,2,290
44420898,Jeff,Copacabana,Private room,90,2,89,1,331
46235793,Daniela,Copacabana,Entire home/apt,2948,5,1,8,365
6138630,Marcos,Copacabana,Entire home/apt,116,2,174,1,194
170912239,Grupo MG,Copacabana,Entire home/apt,349,3,0,8,365
2397123,Camila,Copacabana,Entire home/apt,285,3,24,1,359
14175180,Maria Tereza,Copacabana,Entire home/apt,368,7,4,1,340
6373450,Paulo,Copacabana,Entire home/apt,436,1,5,1,364
96445730,Fernando,Copacabana,Entire home/apt,105,2,38,2,49
4928492,Felipe,Copacabana,Entire home/apt,451,4,5,9,355
27832547,Raul,Copacabana,Entire home/apt,150,5,1,1,318
119608702,Fatima,Copacabana,Private room,500,2,0,1,6
10671319,Eduardo,Copacabana,Entire home/apt,841,4,0,2,365
22713969,Maria,Copacabana,Entire home/apt,285,3,0,18,21
339264,David,Copacabana,Private room,109,1,79,1,365
42038091,Sheila,Ipanema,Entire home/apt,481,3,0,3,365
12800978,João Carlos,Copacabana,Entire home/apt,1127,1,1,1,178
25341342,Isabella,Copacabana,Private room,60,2,38,4,78
8983726,Cynthia,Copacabana,Entire home/apt,500,2,15,2,213
84438636,Itamar. Senzala,Copacabana,Private room,150,4,0,1,364
91654021,Daniel,Ipanema,Entire home/apt,1341,184,0,213,365
10768931,Boris,Copacabana,Entire home/apt,3756,30,0,1,364
31178932,Leopoldo,Copacabana,Entire home/apt,1089,6,0,1,365
95726650,André Luiz Padovani,Ipanema,Entire home/apt,135,90,0,1,358
12431812,Zuzu,Copacabana,Entire home/apt,342,4,7,3,142
159706319,Viviane,Copacabana,Entire home/apt,391,7,0,1,364
14314998,Aline,Ipanema,Entire home/apt,458,4,0,33,359
12980953,Janine,Copacabana,Entire home/apt,282,3,19,1,198
90005336,Gabriel,Copacabana,Private room,71,2,83,2,9
103335273,John,Copacabana,Entire home/apt,237,2,3,2,323
17570217,Luiz,Copacabana,Entire home/apt,349,3,0,1,23
44208672,Amanda,Copacabana,Entire home/apt,131,2,2,4,131
7835552,Maria Ines,Copacabana,Entire home/apt,999,7,1,8,364
15311839,Rose,Copacabana,Entire home/apt,454,7,3,4,358
100074191,Haroldo,Copacabana,Entire home/apt,101,1,6,2,257
64541067,Marcia,Copacabana,Entire home/apt,199,5,0,1,89
24609192,Ju,Copacabana,Private room,120,5,3,1,180
2479468,Michel,Copacabana,Entire home/apt,240,6,66,1,20
164822022,Priscilla,Copacabana,Entire home/apt,162,2,0,14,152
49079400,Jorge,Copacabana,Entire home/apt,300,1,25,1,142
162706782,Priscilla,Copacabana,Entire home/apt,207,2,7,7,237
8000736,Andrade,Ipanema,Entire home/apt,398,5,0,14,99
14963210,Joseph,Copacabana,Private room,199,2,1,2,357
81973289,Lena,Ipanema,Entire home/apt,252,2,6,1,167
80111640,Ana Cristina,Ipanema,Entire home/apt,1499,2,0,2,37
10712658,Manfred,Copacabana,Entire home/apt,1638,2,0,14,0
55952400,Norma,Ipanema,Private room,192,1,7,2,364
73050790,Fernanda,Copacabana,Private room,124,1,28,1,99
1024986,Raul,Copacabana,Private room,120,5,0,2,252
7550977,Johann,Copacabana,Entire home/apt,143,7,7,1,341
4169712,Bruno,Copacabana,Entire home/apt,563,2,0,2,115
671579,Karen,Ipanema,Entire home/apt,451,6,28,1,274
44622369,Elisa,Copacabana,Entire home/apt,79,3,1,2,274
77345568,Cynthia,Ipanema,Entire home/apt,289,2,91,1,148
717238,Marina,Copacabana,Entire home/apt,192,2,0,5,363
2156021,Gilson,Copacabana,Entire home/apt,165,2,13,3,96
129603370,Solange,Copacabana,Entire home/apt,199,1,0,1,238
49073624,Raygs,Copacabana,Entire home/apt,169,2,24,1,348
8064375,Ana Paula,Copacabana,Private room,349,2,1,2,73
73089170,Carmem,Copacabana,Private room,252,4,0,1,358
17866578,Cesar,Copacabana,Entire home/apt,101,3,5,2,359
30006795,Nara,Copacabana,Private room,131,2,11,2,165
15231112,Tereza,Copacabana,Private room,53,5,2,4,353
2019936,Giorgio,Copacabana,Private room,120,4,7,2,358
126317567,Rodolfo,Copacabana,Private room,124,1,11,1,208
27366917,Antonio,Copacabana,Entire home/apt,252,1,2,1,364
13069304,Rob And Pablo,Ipanema,Entire home/apt,1127,7,0,1,363
4307081,Nereu A,Ipanema,Entire home/apt,751,3,0,55,89
9644101,Paulo,Copacabana,Entire home/apt,116,3,72,6,92
17325065,Artur,Copacabana,Private room,252,2,1,3,193
113812028,Luiz Adolpho,Copacabana,Entire home/apt,120,2,18,1,165
110669763,Helena,Copacabana,Entire home/apt,180,5,1,1,152
83714610,Ludovico E Vittoria,Ipanema,Entire home/apt,522,2,17,1,173
142511579,Carlos,Copacabana,Entire home/apt,548,5,0,1,363
56415535,Yana,Copacabana,Private room,188,3,0,2,365
1858602,Silvia,Ipanema,Entire home/apt,252,3,115,2,269
66231570,Cristovão,Ipanema,Entire home/apt,372,3,59,1,125
3641304,Remo,Copacabana,Entire home/apt,233,3,1,2,106
169718373,Xavi,Copacabana,Entire home/apt,300,4,0,1,13
4928492,Felipe,Copacabana,Entire home/apt,300,3,0,9,363
2105194,Paulo E Francisca,Copacabana,Entire home/apt,120,3,31,3,56
2837815,Yara Maria,Copacabana,Private room,300,4,15,2,365
144802987,Kelen,Copacabana,Entire home/apt,650,2,12,1,132
83511983,Sonia,Copacabana,Shared room,398,1,5,1,89
96857970,Josino,Copacabana,Private room,192,2,1,2,83
53203436,Raquel,Copacabana,Entire home/apt,1100,3,2,1,365
2206708,Lilian E Cadu,Copacabana,Entire home/apt,113,5,1,3,351
24552503,Taymar,Copacabana,Entire home/apt,789,4,0,1,365
4902557,Elza,Copacabana,Entire home/apt,751,3,1,1,365
16326971,Barbara,Copacabana,Entire home/apt,101,14,6,1,31
1664638,Alexandre,Copacabana,Entire home/apt,180,3,21,2,328
23910734,Daniel,Copacabana,Entire home/apt,1514,3,0,1,365
79484264,William,Copacabana,Entire home/apt,1315,1,0,3,364
92525893,Analia,Copacabana,Entire home/apt,229,5,0,1,177
113016905,Victor,Copacabana,Entire home/apt,135,3,1,1,200
209348943,Erico,Copacabana,Entire home/apt,417,1,1,1,340
103335273,John,Copacabana,Entire home/apt,372,3,16,2,325
51314789,Dumont,Copacabana,Entire home/apt,192,2,0,3,35
524777,Mira,Copacabana,Entire home/apt,1127,5,0,2,363
26224953,Bernardo,Copacabana,Entire home/apt,158,4,4,1,10
11739,Eric,Copacabana,Entire home/apt,180,3,3,7,55
23747842,Renata,Copacabana,Shared room,563,1,2,17,365
107050007,Diogo,Copacabana,Entire home/apt,252,2,16,2,177
422874,Carlos,Copacabana,Entire home/apt,349,5,5,1,362
154043,Seba,Copacabana,Entire home/apt,150,4,1,1,89
217958157,Amanda,Copacabana,Private room,222,2,0,1,16
29332218,Anna,Copacabana,Entire home/apt,154,3,17,2,38
171256195,Andre,Copacabana,Entire home/apt,154,1,0,15,124
147946652,Renato,Copacabana,Entire home/apt,192,3,10,1,365
43269364,El Misti,Copacabana,Shared room,45,1,1,4,71
25506068,Regina,Copacabana,Entire home/apt,180,3,21,1,164
2942002,Paulo Fernando,Copacabana,Private room,139,3,6,2,365
2981770,M,Copacabana,Private room,38,3,7,2,91
44838515,Andréa,Copacabana,Entire home/apt,270,1,1,1,118
84566555,Maria Paula,Copacabana,Entire home/apt,939,1,0,1,365
2244498,Ana Regina,Copacabana,Entire home/apt,229,3,21,2,169
50890793,Magda,Copacabana,Entire home/apt,601,3,8,1,142
212316847,Anna Paula,Copacabana,Entire home/apt,101,4,0,1,334
12901063,Eduardo Henrique,Copacabana,Entire home/apt,1998,10,0,2,358
72295501,Cristina,Copacabana,Entire home/apt,451,3,0,1,359
14449322,Fabio Cesar,Copacabana,Entire home/apt,1499,5,1,1,362
18568541,Cristian,Copacabana,Entire home/apt,2239,5,0,11,364
198910828,André,Copacabana,Entire home/apt,1499,3,0,4,337
18568541,Cristian,Copacabana,Entire home/apt,751,5,1,11,365
156792723,Osias,Copacabana,Entire home/apt,240,3,0,1,169
4264872,Maria Das Graças,Copacabana,Private room,79,2,47,6,348
3767558,Marcelo,Copacabana,Entire home/apt,177,2,92,2,329
56464577,Anamaria,Copacabana,Private room,128,3,6,7,358
506187,Sheila,Copacabana,Private room,90,2,13,4,358
37252676,Carolina,Copacabana,Entire home/apt,282,3,1,1,76
183807933,Marcelo,Copacabana,Entire home/apt,131,2,8,1,347
88124349,PremierCopaApartments,Copacabana,Entire home/apt,165,1,0,21,165
1101316,Adélia & Carlos Alberto,Copacabana,Entire home/apt,214,2,32,1,167
76611158,Kelen,Copacabana,Entire home/apt,252,3,1,1,364
160772501,Carlos,Copacabana,Private room,101,1,0,2,365
401375,Stefan,Copacabana,Entire home/apt,334,5,84,1,306
100015892,Nádia,Copacabana,Entire home/apt,131,3,75,1,59
41146694,Mariana,Copacabana,Entire home/apt,428,3,9,2,364
39286812,Carlos Peti E Celso,Copacabana,Entire home/apt,199,1,103,1,160
14418677,Eliane,Copacabana,Private room,751,2,0,2,364
4192209,Simão,Copacabana,Entire home/apt,699,1,0,3,365
11604589,Tania,Copacabana,Entire home/apt,1998,10,0,1,365
2651593,Mariana,Copacabana,Private room,500,1,0,2,365
