host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2616,Horacio,Laranjeiras  ,Private room,90,1,0,,,1,75
11739,Eric,Copacabana  ,Entire home/apt,282,3,2,24/07/2018,0.1,7,88
11739,Eric,Copacabana  ,Entire home/apt,162,3,5,01/04/2018,0.28,7,138
11739,Eric,Copacabana  ,Entire home/apt,169,3,3,04/04/2018,0.23,7,0
11739,Eric,Copacabana  ,Entire home/apt,319,3,1,20/09/2017,0.08,7,121
11739,Eric,Copacabana  ,Entire home/apt,180,3,3,30/07/2018,0.32,7,55
11739,Eric,Copacabana  ,Entire home/apt,361,4,1,14/02/2018,0.12,7,0
11739,Eric,Copacabana  ,Entire home/apt,180,3,7,22/09/2018,1.08,7,96
16771,Gustavo,Copacabana  ,Entire home/apt,270,7,0,,,1,354
19065,Morena,Vidigal  ,Entire home/apt,60,1,22,07/07/2018,0.63,1,57
31380,Claudio,Copacabana  ,Entire home/apt,500,10,1,23/08/2016,0.04,1,0
34105,Giselle,Ipanema  ,Entire home/apt,109,3,29,19/05/2017,0.53,2,220
34105,Giselle,Botafogo  ,Entire home/apt,90,3,1,23/09/2014,0.02,2,207
37072,Andrea,Cosme Velho ,Entire home/apt,1878,6,0,,,1,365
41465,Julio,Gavea  ,Entire home/apt,3756,7,1,25/08/2016,0.04,1,0
48024,Gustavo,Leblon  ,Entire home/apt,526,4,70,28/07/2018,1.33,2,203
48024,Gustavo,Centro  ,Entire home/apt,101,12,0,,,2,85
67955,Fernanda,Copacabana  ,Entire home/apt,2629,4,0,,,2,364
67955,Fernanda,Leme  ,Private room,75,2,0,,,2,364
67977,Louis,Osvaldo Cruz ,Entire home/apt,300,1,0,,,2,0
67977,Louis,Osvaldo Cruz ,Entire home/apt,199,1,0,,,2,0
68130,Gloria,Ipanema  ,Private room,342,5,6,17/08/2016,0.08,1,365
68496,Alexandre,Ipanema  ,Entire home/apt,210,6,1,11/04/2015,0.02,5,17
68496,Alexandre,Ipanema  ,Entire home/apt,210,3,4,12/01/2016,0.09,5,191
68496,Alexandre,Ipanema  ,Entire home/apt,248,3,0,,,5,363
68496,Alexandre,Ipanema  ,Entire home/apt,199,2,1,30/12/2015,0.03,5,364
68496,Alexandre,Copacabana  ,Entire home/apt,158,2,1,24/08/2017,0.07,5,71
68805,Alessandro,Copacabana  ,Entire home/apt,199,2,160,17/03/2018,2.67,2,77
68805,Alessandro,Copacabana  ,Entire home/apt,199,2,116,27/09/2018,1.96,2,69
68997,Matthias,Copacabana  ,Entire home/apt,297,4,215,07/10/2018,2.14,1,331
70933,Alex,Ipanema  ,Entire home/apt,3347,2,36,02/06/2018,0.39,6,328
70933,Alex,Ipanema  ,Entire home/apt,868,2,61,16/09/2018,0.7,6,288
70933,Alex,Ipanema  ,Entire home/apt,1780,2,50,26/08/2018,0.54,6,321
70933,Alex,Copacabana  ,Entire home/apt,3042,2,21,20/08/2018,0.56,6,341
70933,Alex,Copacabana  ,Private room,1585,2,0,,,6,50
70933,Alex,Copacabana  ,Private room,2062,2,0,,,6,64
72111,David,Salo Conrado ,Private room,342,2,12,14/08/2016,0.13,1,364
82928,Jeff,Santa Teresa ,Entire home/apt,105,2,1,31/08/2018,0.7,1,179
83051,Manuela,Leblon  ,Entire home/apt,2441,1,1,25/08/2016,0.04,1,0
85942,Dil,Ipanema  ,Private room,244,5,1,13/07/2016,0.04,2,297
85942,Dil,Ipanema  ,Entire home/apt,1052,3,6,19/03/2018,0.15,2,195
89572,Rodrigo,Santa Teresa ,Entire home/apt,188,1,0,,,1,0
90350,Pedro,Santa Teresa ,Private room,282,1,2,08/07/2014,0.02,4,253
90350,Pedro,Santa Teresa ,Entire home/apt,1315,1,3,18/08/2016,0.09,4,98
90350,Pedro,Copacabana  ,Entire home/apt,150,2,73,02/01/2018,1.22,4,0
90350,Pedro,Vargem Pequena ,Entire home/apt,2629,3,0,,,4,0
93005,Andrea,Ipanema  ,Entire home/apt,398,1,12,09/01/2017,0.13,1,365
99249,Goya,Ipanema  ,Entire home/apt,229,3,85,14/02/2018,0.87,1,0
102840,Viviane,Copacabana  ,Entire home/apt,162,4,217,12/09/2018,2.13,3,314
102840,Viviane,Botafogo  ,Entire home/apt,240,4,13,10/08/2018,0.19,3,321
102840,Viviane,Glaria  ,Entire home/apt,131,4,35,15/06/2018,0.6,3,363
104452,Alexander,Copacabana  ,Entire home/apt,4999,7,0,,,1,365
110002,Silvia,Gavea  ,Entire home/apt,139,5,20,11/08/2018,0.29,1,163
114353,Carlos Castilho,Leblon  ,Entire home/apt,808,9,0,,,1,365
116816,Deborah,Leblon  ,Private room,868,3,0,,,1,0
118445,Bruno & Mary,Jardim Botanico ,Entire home/apt,1127,7,0,,,1,0
130685,Roberto,Leblon  ,Entire home/apt,394,1,79,30/09/2018,1.69,1,116
130933,Polyana,Gavea  ,Entire home/apt,1502,1,2,20/07/2014,0.04,2,14
130933,Polyana,Leme  ,Entire home/apt,451,5,0,,,2,89
132230,Pierre,Copacabana  ,Entire home/apt,222,7,21,27/03/2018,0.25,6,343
132230,Pierre,Copacabana  ,Entire home/apt,297,7,39,18/06/2018,0.47,6,276
132230,Pierre,Copacabana  ,Entire home/apt,120,14,19,21/03/2015,0.27,6,203
132230,Pierre,Copacabana  ,Entire home/apt,334,7,13,09/09/2018,0.34,6,264
132230,Pierre,Copacabana  ,Entire home/apt,244,7,0,,,6,165
132230,Pierre,Copacabana  ,Entire home/apt,225,7,0,,,6,350
132283,Cristina,Lagoa  ,Entire home/apt,413,5,2,12/02/2016,0.06,1,0
135635,Renata,Ipanema  ,Entire home/apt,244,2,224,09/10/2018,2.23,1,148
136611,Joao,Ipanema  ,Entire home/apt,184,2,49,20/07/2018,1.71,1,324
144943,Marco,Ipanema  ,Private room,300,1,17,13/02/2018,0.23,1,365
147523,Zoa,Flamengo  ,Entire home/apt,800,3,2,02/07/2014,0.04,1,0
152641,Geraldine D,Santa Teresa ,Entire home/apt,139,10,0,,,1,0
153232,Patricia,Ipanema  ,Entire home/apt,338,2,127,17/09/2018,2.1,1,109
153691,Patricia Miranda & Paulo,Copacabana  ,Entire home/apt,222,3,274,06/10/2018,2.8,1,168
153721,Shushma & Nityam,Flamengo  ,Entire home/apt,563,2,17,03/01/2018,0.26,25,171
153721,Shushma & Nityam,Humaita  ,Entire home/apt,451,2,2,01/07/2014,0.03,25,365
153721,Shushma & Nityam,Leblon  ,Entire home/apt,289,2,20,17/09/2018,0.31,25,64
153721,Shushma & Nityam,Leme  ,Entire home/apt,714,2,2,20/06/2014,0.04,25,365
153721,Shushma & Nityam,Ipanema  ,Entire home/apt,376,3,3,31/12/2013,0.05,25,365
153721,Shushma & Nityam,Leblon  ,Entire home/apt,338,180,3,23/06/2014,0.05,25,90
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,1052,3,6,26/08/2015,0.1,25,97
153721,Shushma & Nityam,Salo Conrado ,Entire home/apt,1127,2,0,,,25,365
153721,Shushma & Nityam,Botafogo  ,Entire home/apt,188,2,41,09/09/2018,0.74,25,139
153721,Shushma & Nityam,Flamengo  ,Entire home/apt,319,3,1,15/07/2014,0.02,25,90
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,1127,2,0,,,25,358
153721,Shushma & Nityam,Lagoa  ,Entire home/apt,338,3,1,22/09/2016,0.04,25,194
153721,Shushma & Nityam,Botafogo  ,Entire home/apt,150,1,77,04/08/2018,1.86,25,110
153721,Shushma & Nityam,Leblon  ,Entire home/apt,398,2,16,25/02/2018,0.41,25,7
153721,Shushma & Nityam,Flamengo  ,Entire home/apt,207,120,6,15/02/2018,0.18,25,204
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,229,2,2,25/01/2018,0.15,25,52
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,139,2,1,26/09/2017,0.08,25,99
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,451,3,0,,,25,87
153721,Shushma & Nityam,Leblon  ,Entire home/apt,349,2,1,25/09/2017,0.08,25,89
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,451,3,2,13/03/2018,0.26,25,90
153721,Shushma & Nityam,Leblon  ,Entire home/apt,300,3,5,12/03/2018,0.55,25,9
153721,Shushma & Nityam,Ipanema  ,Entire home/apt,177,2,5,27/03/2018,0.53,25,81
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,229,2,0,,,25,7
153721,Shushma & Nityam,Botafogo  ,Entire home/apt,650,5,0,,,25,88
153721,Shushma & Nityam,Copacabana  ,Entire home/apt,349,1,0,,,25,84
154043,Seba,Copacabana  ,Entire home/apt,150,4,1,25/06/2012,0.01,1,89
162461,Duda & Lucas,Botafogo  ,Private room,116,2,6,29/05/2016,0.11,1,336
165658,Daniela,Gavea  ,Entire home/apt,398,2,1,01/03/2017,0.05,2,355
165658,Daniela,Gavea  ,Private room,349,2,0,,,2,360
170357,Ahmed,Copacabana  ,Entire home/apt,342,3,34,15/08/2018,0.9,1,358
177168,Marcus,Ipanema  ,Entire home/apt,563,4,0,,,1,0
180513,Luciana,Tijuca  ,Private room,131,1,2,16/02/2018,0.21,1,88
181028,Peter,Centro  ,Entire home/apt,237,2,2,01/08/2013,0.03,1,365
188948,Vivian,Humaita  ,Entire home/apt,548,7,0,,,1,365
196752,Douglas,Tijuca  ,Private room,94,1,2,12/02/2013,0.02,2,365
196752,Douglas,Tijuca  ,Private room,86,1,2,22/03/2018,0.16,2,365
